Date,Open,High,Low,Close,Adj Close,Volume
43102,117,117.980003,116.800003,117.949997,117.266579,1784200
43103,118.349998,118.529999,117.68,118.080002,117.395836,2873200
43104,118.089996,118.330002,117.660004,117.870003,117.18705,2153500
43105,118.089996,118.309998,117.910004,118.050003,117.366013,1631700
43108,118.650002,118.650002,117.949997,118.279999,117.594673,1258000
43109,118.300003,118.830002,118.260002,118.449997,117.763687,1408600
43110,118.370003,119.269997,118.07,119.150002,118.459633,1868300
43111,119.150002,119.480003,118.75,119.25,118.559052,2576800
43112,119.290001,119.699997,118.989998,119.580002,118.887146,2027200
43116,119.519997,119.900002,119.400002,119.400002,118.708191,2516900
43117,119.339996,119.470001,118.800003,119.339996,118.648537,4177600
43118,119.400002,120.199997,119.400002,120,119.30471,3981600
43119,120.110001,120.669998,120,120.449997,119.752098,4837600
43122,120.699997,121.25,120.550003,121.080002,120.378448,2026200
43123,121.370003,121.459999,120.849998,120.849998,120.149788,2000400
43124,120.75,121.120003,120.25,120.459999,119.762047,1470500
43125,121.239998,121.239998,120.199997,120.199997,119.503548,1526600
43126,120.5,120.989998,120.209999,120.339996,119.642738,2357000
43129,120.07,120.650002,119.510002,120.550003,119.851532,1376600
43130,120.010002,120.410004,119.900002,120.209999,119.513489,2079900
43131,120.550003,120.699997,119.889999,120.32,119.622856,2942100
43132,120.849998,121.5,120.629997,121.300003,120.597176,3660600
43133,121.120003,121.290001,120.5,120.620003,119.92112,2626200
43136,119.540001,120.32,117.860001,118.190002,117.505203,5072500
43137,117.099998,118.769997,117,118.150002,117.465431,4431900
43138,118.150002,118.300003,116.239998,116.410004,115.735512,3993200
43139,118.25,118.75,115.760002,115.940002,115.268234,5688000
43140,116.290001,116.550003,114.769997,115.779999,115.109161,4053400
43143,116.300003,116.900002,115.980003,116.540001,115.864754,1876100
43144,116.209999,117.080002,115.989998,116.199997,115.526718,1903400
43145,115.879997,116.25,114.550003,114.879997,114.214371,4370300
43146,115.389999,117.050003,115.209999,116.919998,116.242554,2289300
43147,116.5,119.029999,116.5,118.5,117.8134,5097200
43151,125.800003,125.93,125.5,125.559998,124.832489,30986300
43152,125.779999,125.919998,125.589996,125.599998,124.872261,11299500
43153,125.75,125.82,125.650002,125.709999,124.981628,7547100
43154,125.68,125.730003,125.330002,125.440002,124.713188,5231000
43157,125.349998,125.449997,124.18,124.459999,123.738869,8208300
43158,124.419998,124.889999,124.400002,124.650002,123.927765,3645500
43159,124.699997,124.779999,124.639999,124.660004,123.937714,2745200
43160,124.370003,124.699997,123.5,123.769997,123.052864,4977000
43161,123.760002,124.300003,123.5,124.089996,123.37101,2903300
